sum_gamerounds,userid
0,3994
1,5538
2,4606
3,3958
4,3629
5,2992
6,2861
7,2379
8,2267
9,2013
10,1752
11,1654
12,1570
13,1594
14,1519
15,1446
16,1342
17,1269
18,1228
19,1158
20,1033
21,1032
22,934
23,879
24,794
25,792
26,689
27,723
28,662
29,613
30,642
31,614
32,648
33,610
34,594
35,586
36,555
37,559
38,526
39,542
40,505
41,462
42,469
43,416
44,419
45,399
46,405
47,411
48,413
49,329
50,353
51,359
52,343
53,333
54,326
55,332
56,306
57,295
58,304
59,275
60,277
61,277
62,240
63,254
64,239
65,235
66,252
67,223
68,221
69,243
70,221
71,220
72,203
73,200
74,200
75,192
76,182
77,186
78,174
79,166
80,189
81,171
82,165
83,178
84,156
85,156
86,146
87,162
88,157
89,146
90,149
91,148
92,134
93,130
94,126
95,161
96,135
97,137
98,139
99,133
100,131
101,125
102,106
103,125
104,118
105,112
106,130
107,121
108,103
109,113
110,98
111,114
112,118
113,106
114,110
115,98
116,110
117,97
118,106
119,99
120,99
121,104
122,86
123,92
124,94
125,100
126,85
127,82
128,84
129,72
130,75
131,69
132,69
133,70
134,80
135,82
136,71
137,84
138,64
139,75
140,82
141,74
142,72
143,80
144,81
145,71
146,66
147,81
148,78
149,70
150,57
151,75
152,61
153,60
154,54
155,72
156,45
157,63
158,78
159,65
160,71
161,68
162,57
163,60
164,59
165,54
166,54
167,60
168,53
169,52
170,41
171,42
172,61
173,56
174,62
175,49
176,45
177,56
178,50
179,45
180,46
181,42
182,47
183,55
184,58
185,42
186,44
187,42
188,43
189,36
190,33
191,51
192,42
193,53
194,42
195,43
196,46
197,39
198,37
199,46
200,49
201,38
202,36
203,39
204,36
205,42
206,31
207,33
208,38
209,36
210,42
211,28
212,29
213,37
214,36
215,34
216,35
217,30
218,30
219,36
220,36
221,38
222,32
223,30
224,26
225,31
226,39
227,43
228,36
229,32
230,29
231,26
232,19
233,30
234,19
235,18
236,33
237,27
238,28
239,22
240,32
241,14
242,26
243,26
244,31
245,22
246,26
247,24
248,22
249,17
250,15
251,25
252,20
253,26
254,30
255,23
256,19
257,27
258,25
259,23
260,24
261,15
262,16
263,25
264,18
265,22
266,24
267,14
268,23
269,21
270,17
271,21
272,25
273,19
274,19
275,20
276,22
277,24
278,19
279,21
280,17
281,35
282,13
283,17
284,15
285,13
286,21
287,25
288,19
289,18
290,23
291,20
292,22
293,24
294,19
295,18
296,19
297,14
298,22
299,15
300,15
301,17
302,18
303,13
304,14
305,18
306,21
307,19
308,12
309,21
310,13
311,14
312,13
313,19
314,13
315,15
316,17
317,20
318,7
319,14
320,11
321,14
322,16
323,20
324,17
325,17
326,14
327,8
328,11
329,7
330,20
331,11
332,19
333,14
334,11
335,8
336,15
337,16
338,17
339,16
340,13
341,14
342,13
343,8
344,20
345,13
346,13
347,9
348,13
349,11
350,12
351,10
352,14
353,14
